Name,Tier,Type,Description,Motives and Tactics,Difficulty,Thresholds,HP,Stress,ATK,Attack,Range,Damage,Experience,Feature 1 Name,Feature 1 Text,Feature 2 Name,Feature 2 Text,Feature 3 Name,Feature 3 Text,Feature 4 Name,Feature 4 Text,Feature 5 Name,Feature 5 Text,Feature 6 Name,Feature 6 Text,Feature 7 Name,Feature 7 Text
Dire Bat,3,Skulk,A wide-winged pet endlessly loyal to their vampire owner.,"Dive-bomb, hide, protect leader",14,16/30,5,3,+2,Claws and Teeth,Melee,2d6+7 phy,Bloodthirsty +3,Flying,"While fl ying, the Bat gains a +3 bonus to their Diffi culty.",Screech,Mark a Stress to send a high-pitch screech out toward all targets in front of the Bat within Far range. Those targets must mark 1d4 Stress.,Guardian,"When an allied Vampire marks HP, you can mark a Stress to fl y into Melee range of the attacker and make an attack with advantage against them. On a success, deal 2d6+2 physical damage.",,,,,,,,
Drake,3,Skulk,"A clawed quadruped that has a scaled, serpentine body and a willingness to serve its cousins, the dragons.","Coil and crush, protect master, slither around",14,16/30,5,3,+4,Claws & Teeth,Melee,3d8+5 phy,Vicious +3,Relentless (2),The Drake can be spotlighted up to two times per GM turn. Spend Fear as usual to spotlight it.,Guard Dog,"When a PC would deal damage to a creature within Close range, you can mark a Stress to have the Drake move to intercept the attack and take the damage instead. If the attacker is within Melee range of the Drake’s new position, you can immediately spotlight the Drake without spending Fear.",,,,,,,,,,
Dryad,3,Leader,A nature spirit in the form of a humanoid tree.,"Command, cultivate, drive out, preserve the",16,24/38,8,5,+4,Deadfall Shortbow,Far,3d10+1 phy,Forest Knowledge +4,Bramble Patch,Mark a Stress to target a point within Far range. Create a patch of thorns that covers an area within Close range of that point. All targets within that area take 2d6+2 physical damage when they act. A target must succeed on a Finesse Roll or deal more than 20 damage to the Dryad with an attack to leave the area.,Grow Saplings,"Spend a Fear to grow three Treant Sapling Minions, who appear at Close range and immediately take the spotlight.",We Are All One,"When an ally dies within Close range, you can spend a Fear to clear 2 HP and 2 Stress as the fallen ally’s life force is returned to the forest.",,,,,,,,
Dullahan,3,Bruiser,A horse-mounted specter holding their own severed head in one hand and wielding a whip fashioned from a human spine in the other.,"Doom with a glance, gallop across water, kick",17,22/40,7,4,+3,Spine Whip,Very Close,3d10+1 mag,Nocturnal +3,Specter,The Dullahan has resistance to physical damage. Mark a Stress to move up to Close range through solid objects.,Spectral Mount,"While atop their steed, the Dullahan can move up to Far range instead of Close range before taking an action. If the Dullahan is unhorsed, their mount disappears until you mark a Stress to summon it again. The Dullahan is Vulnerable while not on their horse.",Bone Whip Strike,"Mark a Stress to make an attack against a target within Melee range. On a success, the target takes 4d4+10 direct physical damage and is Vulnerable until they clear a HP.",Death Glare,"Spend a Fear to choose a PC within Far range. The target must make an Presence Reaction Roll (19). On a success, they mark a Stress. On a failure, they mark a HP and activate a Doom Countdown (4). It ticks down when the Dullahan is spotlighted. When it triggers, the target makes a death move. If the Dullahan is defeated or the PCs take a rest, all Doom Countdowns end.",,,,,,
Elemental Spark,3,Minion,A blazing mote of elemental fi re.,"Blast, consume, gain mass",15,None,1,1,+0,Bursts of Fire,Close,5 mag,,Minion (),"The Elemental is defeated when they take any damage. For every 9 damage a PC deals to the Elemental, defeat an additional Minion within range the attack would succeed against.",Group Attack,"Spend a Fear to choose a target and spotlight all Elemental Sparks within Close range of them. Those Minions move into Melee range of the target and make one shared attack roll. On a success, they deal 5 physical damage each. Combine this damage.",,,,,,,,,,
Fire Titan,3,Solo,An armor-clad goliath who has ash-gray skin and fi ery hair and wields a masterwork greatsword crafted in their own smithy.,"Act valorously, make war, think tactically",18,19/35,10,5,+3,Greatsword,Close,3d12+4 phy,"Smithing +5, Tactics +3",Relentless (3),The Titan can be spotlighted up to three times per GM turn. Spend Fear as usual to spotlight them.,Masterwork Armor,"Countdown (3). When the Titan fi rst appears, activate the countdown. It ticks down when the Titan takes Major or Severe damage. Until the countdown triggers, reduce incoming damage by 1d12. When it triggers, the Titan gains a +1 bonus to their Diffi culty and attack rolls.",Momentum,"When the Titan makes a successful attack against a PC, you gain a Fear.",Hurl Rock,"Mark a Stress to choose a point within Far range, then make an attack against all targets between the Titan and that point. Targets the Titan succeeds against take 3d12 physical damage.",Skull Splitter,"Mark a Stress to place a token on this stat block. The next time the Titan is spotlighted, you must spend the token from this stat block and make an attack against a PC within Close range. On a success, deal 3d20+5 direct physical damage. On a failure, the target marks a Stress.",Blazing Heart,"When the Titan marks half or more of their HP, you can spend a Fear and mark any number of Stress to clear a number of HP equal to the number of Stress marked. Daggerheart SRD 135",,
Frost Titan,3,Bruiser,A blue-skinned goliath who has rimed hair and wears trophies of past battles.,"Claim trophies, raid and pillage, test mettle",17,22/40,10,4,+7,Dual Axes,Very Close,3d10+2 phy,"Cold +3, War +3",Relentless (2),The Titan can be spotlighted up to two times per GM turn. Spend Fear as usual to spotlight them.,War Horn,Mark a Stress to force each PC within Far range to succeed on a Presence Reaction Roll or mark a Stress and become Vulnerable until after the next attack against them.,Bull Rush,"Mark a Stress to move up to Close range and make an attack roll against a target within Melee range. On a success, deal 4d10+2 physical damage and knock the target back to Close range.",Cleaving Strike,"When a PC marks HP from the Titan’s standard attack, you can mark a Stress to force another PC within Very Close range who the attack would have succeeded against to mark the same number of HP.",Trophy Hunter,"When the Titan defeats a PC, the Titan takes the PC’s most valuable possession as a trophy.",,,,
Gargantuan Sea Turtle,3,Solo,A monstrous sea turtle that has an adamantine shell and beak.,"Acquire riches, capsize trading vessels, lie in",18,21/41,10,6,+7,Crushing Jaws,Very Close,3d12+7 phy,Open Sea +5,Relentless (3),The Turtle can be spotlighted up to three times per GM turn. Spend Fear as usual to spotlight it.,Piercing Bite,"When the Turtle makes a successful standard attack against a PC, the PC must either mark an Armor Slot without receiving its benefi t or take double damage.",Tail Bash,"Mark a Stress to make a standard attack against all PCs behind the Turtle within Very Close range. On a success, a target takes an extra 1d12 physical damage and is pushed away from the Turtle to Close range.",Gigaton Splash,"Spend a Fear to have the Turtle use its weight to unleash an unstoppable wall of water that targets all creatures within Far range. Each PC must make a Strength Reaction Roll to navigate the tide. Targets who fail are pushed away from the Turtle to Close range, take 4d8 physical damage, and become temporarily Vulnerable. Targets who succeed must mark a Stress. For each target who failed, you gain a Fear.",Steam Breath,Spend 2 Fear to have the Turtle release a blast of superheated steam targeting all PCs in front of it within Close range. Each target must make an Agility Reaction Roll. Targets who fail take 4d8 magic damage and become temporarily Vulnerable. Targets who succeed must choose to either mark a Stress or take half damage. 136 Daggerheart SRD,,,,
Greater Earth Elemental,3,Bruiser,"A living landslide of boulders and dust, as large as a house.","Avalanche, knock over, pummel",17,22/40,10,4,+7,Boulder Fist,Very Close,3d10+1 phy,,Slow,"When you spotlight the Elemental and they don’t have a token on their stat block, they can’t act yet. Place a token on their stat block and describe what they’re preparing to do. When you spotlight the Elemental and they have a token on their stat block, clear the token and they can act.",Crushing Blows,"When the Elemental makes a successful attack, the target must mark an Armor Slot without receiving its benefi ts (they can still use armor to reduce the damage). If they can’t mark an Armor Slot, they must mark an additional HP.",Immovable Object,"An attack that would move the Elemental moves them two fewer ranges (for example, Far becomes Very Close). When the Elemental takes physical damage, reduce it by 7.",Rockslide,Mark a Stress to create a rockslide that buries the land in front of Elemental within Close range with rockfall. All targets in this area must make an Agility Reaction Roll (19). Targets who fail take 2d12+5 physical damage and become Vulnerable until their next roll with Hope. Targets who succeed take half damage.,Momentum,"When the Elemental makes a successful attack against a PC, you gain a Fear. GREATER WATER ELEMENTAL Tier  Support A huge living wave that crashes down upon enemies. Motives & Tactics: Deluge, disperse, drown Diffi culty: 17 | Thresholds: 17/34 | HP: 5 | Stress: 5 ATK: +3 | Crashing Wave: Very Close | 3d4+1 mag FEATURES",Water Jet,"Mark a Stress to attack a target within Very Close range. On a success, deal 2d4+7 physical damage and the target’s next action has disadvantage. On a failure, the target must mark a Stress.",Drowning Embrace,"Spend a Fear to make an attack against all targets within Very Close range. Targets the Elemental succeeds against become Restrained and Vulnerable as they begin drowning. A target can break free, ending both conditions, with a successful Strength or Instinct Roll."
Huge Green Ooze,3,Skulk,A translucent green mound of acid taller than most humans.,"Camoufl age, creep up, envelop, multiply",15,15/30,7,4,+3,Ooze Appendage,Melee,3d8+1 mag,Blend In +3,Slow,"When you spotlight the Ooze and they don’t have a token on their stat block, they can’t act yet. Place a token on their stat block and describe what they’re preparing to do. When you spotlight the Ooze and they have a token on their stat block, clear the token and they can act.",Acidic Form,"When the Ooze makes a successful attack, the target must mark an Armor Slot without receiving its benefi ts (they can still use armor to reduce the damage). If they can’t mark an Armor Slot, they must mark an additional HP.",Envelop,"Make an attack against a target within Melee range. On a success, the Ooze Envelops them and the target must mark 2 Stress. While Enveloped, the target must mark an additional Stress every time they make an action roll. When the Ooze takes Severe damage, all Enveloped targets are freed and the condition is cleared.",Split,"When the Ooze has 4 or more HP marked, you can spend a Fear to split them into two Green Oozes (with no marked HP or Stress). Immediately spotlight both of them.",,,,,,
Hydra,3,Solo,"A quadrupedal scaled beast with multiple long-necked heads, each fi lled with menacing fangs.","Devour, regenerate, terrify",18,19/35,10,5,+3,Bite,Close,2d12+2 phy,,Many-Headed Menace,"The Hydra begins with three heads and can have up to fi ve. When the Hydra takes Major or greater damage, they lose a head.",Relentless (X),"The Hydra can be spotlighted X times per GM turn, where X is the Hydra’s number of heads. Spend Fear as usual to spotlight them.",Regeneration,"If the Hydra has any marked HP, spend a Fear to clear a HP and grow two heads.",Terrifying Chorus,All PCs within Far range lose 2 Hope.,Magical Weakness,"When the Hydra takes magic damage, they become Dazed until the next roll with Fear. While Dazed, they can’t use their Regeneration action but are immune to magic damage.",,,,
